,S&P,divs_annualized
7/1/1990,360.03,11.73
8/1/1990,330.75,11.78
9/1/1990,315.41,11.83
10/1/1990,307.12,11.93
11/1/1990,315.29,12.01
12/1/1990,328.75,12.09
1/1/1991,325.49,12.11
2/1/1991,362.26,12.11
3/1/1991,372.28,12.11
4/1/1991,379.68,12.13
5/1/1991,377.99,12.14
6/1/1991,378.29,12.15
7/1/1991,380.23,12.19
8/1/1991,389.4,12.24
9/1/1991,387.2,12.28
10/1/1991,386.88,12.25
11/1/1991,385.92,12.23
12/1/1991,388.51,12.20
1/1/1992,416.08,12.24
2/1/1992,412.56,12.28
3/1/1992,407.36,12.32
4/1/1992,407.41,12.32
5/1/1992,414.81,12.32
6/1/1992,408.27,12.32
7/1/1992,415.05,12.34
8/1/1992,417.93,12.37
9/1/1992,418.48,12.40
10/1/1992,412.5,12.39
11/1/1992,422.84,12.38
12/1/1992,435.64,12.39
1/1/1993,435.23,12.41
2/1/1993,441.7,12.45
3/1/1993,450.16,12.48
4/1/1993,443.08,12.49
5/1/1993,445.25,12.51
6/1/1993,448.06,12.52
7/1/1993,447.29,12.52
8/1/1993,454.13,12.52
9/1/1993,459.24,12.52
10/1/1993,463.9,12.54
11/1/1993,462.89,12.56
12/1/1993,465.95,12.58
1/1/1994,472.99,12.62
2/1/1994,471.58,12.67
3/1/1994,463.81,12.71
4/1/1994,447.23,12.75
5/1/1994,450.9,12.80
6/1/1994,454.83,12.84
7/1/1994,451.4,12.87
8/1/1994,464.24,12.90
9/1/1994,466.96,12.92
10/1/1994,463.81,13.01
11/1/1994,461.01,13.10
12/1/1994,455.19,13.17
1/1/1995,465.25,13.18
2/1/1995,481.92,13.18
3/1/1995,493.15,13.17
4/1/1995,507.91,13.24
5/1/1995,523.81,13.31
6/1/1995,539.35,13.36
7/1/1995,557.37,13.44
8/1/1995,559.11,13.51
9/1/1995,578.77,13.58
10/1/1995,582.92,13.65
11/1/1995,595.53,13.72
12/1/1995,614.57,13.79
1/1/1996,614.42,13.89
2/1/1996,649.54,14.00
3/1/1996,647.07,14.10
4/1/1996,647.17,14.16
5/1/1996,661.23,14.21
6/1/1996,668.5,14.27
7/1/1996,644.07,14.40
8/1/1996,662.68,14.53
9/1/1996,674.88,14.66
10/1/1996,701.46,14.74
11/1/1996,735.67,14.82
12/1/1996,743.25,14.90
1/1/1997,766.22,14.95
2/1/1997,798.39,15.01
3/1/1997,792.16,15.06
4/1/1997,763.93,15.09
5/1/1997,833.09,15.13
6/1/1997,876.29,15.16
7/1/1997,925.29,15.22
8/1/1997,927.24,15.27
9/1/1997,937.02,15.33
10/1/1997,951.16,15.39
11/1/1997,938.92,15.44
12/1/1997,962.37,15.50
1/1/1998,963.36,15.55
2/1/1998,1023.74,15.60
3/1/1998,1076.83,15.64
4/1/1998,1112.2,15.75
5/1/1998,1108.42,15.85
6/1/1998,1108.39,15.95
7/1/1998,1156.58,16.02
8/1/1998,1074.62,16.08
9/1/1998,1020.64,16.14
10/1/1998,1032.47,16.17
11/1/1998,1144.43,16.18
12/1/1998,1190.05,16.20
1/1/1999,1248.77,16.28
2/1/1999,1246.58,16.37
3/1/1999,1281.66,16.45
4/1/1999,1334.76,16.45
5/1/1999,1332.07,16.45
6/1/1999,1322.55,16.45
7/1/1999,1380.99,16.51
8/1/1999,1327.49,16.58
9/1/1999,1318.17,16.64
10/1/1999,1300.01,16.66
11/1/1999,1391,16.67
12/1/1999,1428.68,16.69
1/1/2000,1425.59,16.71
2/1/2000,1388.87,16.74
3/1/2000,1442.21,16.76
4/1/2000,1461.36,16.74
5/1/2000,1418.48,16.72
6/1/2000,1461.96,16.70
7/1/2000,1473,16.58
8/1/2000,1485.46,16.47
9/1/2000,1468.05,16.35
10/1/2000,1390.14,16.32
11/1/2000,1378.04,16.30
12/1/2000,1330.93,16.27
1/1/2001,1335.63,16.17
2/1/2001,1305.75,16.07
3/1/2001,1185.85,15.97
4/1/2001,1189.84,15.88
5/1/2001,1270.37,15.78
6/1/2001,1238.71,15.69
7/1/2001,1204.45,15.71
8/1/2001,1178.5,15.72
9/1/2001,1044.64,15.74
10/1/2001,1076.59,15.74
11/1/2001,1129.68,15.74
12/1/2001,1144.93,15.74
1/1/2002,1140.21,15.74
2/1/2002,1100.67,15.73
3/1/2002,1153.79,15.73
4/1/2002,1111.93,15.83
5/1/2002,1079.25,15.94
6/1/2002,1014.02,16.04
7/1/2002,903.59,15.96
8/1/2002,912.55,15.88
9/1/2002,867.81,15.80
10/1/2002,854.63,15.89
11/1/2002,909.93,15.98
12/1/2002,899.18,16.07
1/1/2003,895.84,16.12
2/1/2003,837.03,16.17
3/1/2003,846.63,16.22
4/1/2003,890.03,16.20
5/1/2003,935.96,16.19
6/1/2003,988,16.17
7/1/2003,992.54,16.31
8/1/2003,989.53,16.45
9/1/2003,1019.44,16.59
10/1/2003,1038.73,16.86
11/1/2003,1049.9,17.12
12/1/2003,1080.64,17.39
1/1/2004,1132.52,17.60
2/1/2004,1143.36,17.81
3/1/2004,1123.98,18.02
4/1/2004,1133.36,18.21
5/1/2004,1102.78,18.41
6/1/2004,1132.76,18.60
7/1/2004,1105.85,18.79
8/1/2004,1088.94,18.97
9/1/2004,1117.66,19.16
10/1/2004,1117.21,19.25
11/1/2004,1168.94,19.35
12/1/2004,1199.21,19.44
1/1/2005,1181.41,19.70
2/1/2005,1199.63,19.97
3/1/2005,1194.9,20.23
4/1/2005,1164.43,20.46
5/1/2005,1178.28,20.70
6/1/2005,1202.25,20.93
7/1/2005,1222.24,21.11
8/1/2005,1224.27,21.29
9/1/2005,1225.92,21.47
10/1/2005,1191.96,21.72
11/1/2005,1237.37,21.97
12/1/2005,1262.07,22.22
1/1/2006,1278.73,22.41
2/1/2006,1276.65,22.59
3/1/2006,1293.74,22.78
4/1/2006,1302.17,23.00
5/1/2006,1290.01,23.22
6/1/2006,1253.17,23.44
7/1/2006,1260.24,23.66
8/1/2006,1287.15,23.88
9/1/2006,1317.74,24.10
10/1/2006,1363.38,24.36
11/1/2006,1388.64,24.62
12/1/2006,1416.42,24.88
1/1/2007,1424.16,25.08
2/1/2007,1444.8,25.29
3/1/2007,1406.95,25.49
4/1/2007,1463.64,25.72
5/1/2007,1511.14,25.94
6/1/2007,1514.19,26.17
7/1/2007,1520.71,26.44
8/1/2007,1454.62,26.71
9/1/2007,1497.12,26.98
10/1/2007,1539.66,27.23
11/1/2007,1463.39,27.48
12/1/2007,1479.22,27.73
1/1/2008,1378.76,27.92
2/1/2008,1354.87,28.11
3/1/2008,1316.94,28.30
4/1/2008,1370.47,28.44
5/1/2008,1403.22,28.57
6/1/2008,1341.25,28.71
7/1/2008,1257.33,28.76
8/1/2008,1281.47,28.80
9/1/2008,1216.95,28.85
10/1/2008,968.8,28.70
11/1/2008,883.04,28.54
12/1/2008,877.56,28.39
1/1/2009,865.58,28.01
2/1/2009,805.23,27.64
3/1/2009,757.13,27.26
4/1/2009,848.15,26.70
5/1/2009,902.41,26.15
6/1/2009,926.12,25.59
7/1/2009,935.82,25.03
8/1/2009,1009.73,24.46
9/1/2009,1044.55,23.90
10/1/2009,1067.66,23.40
11/1/2009,1088.07,22.91
12/1/2009,1110.38,22.41
1/1/2010,1123.58,22.24
2/1/2010,1089.16,22.07
3/1/2010,1152.05,21.90
4/1/2010,1197.32,21.95
5/1/2010,1125.06,21.99
6/1/2010,1083.36,22.04
7/1/2010,1079.8,22.14
8/1/2010,1087.28,22.25
9/1/2010,1122.08,22.35
10/1/2010,1171.58,22.48
11/1/2010,1198.89,22.60
12/1/2010,1241.53,22.73
1/1/2011,1282.62,22.96
2/1/2011,1321.12,23.20
3/1/2011,1304.49,23.43
4/1/2011,1331.51,23.73
5/1/2011,1338.31,24.04
6/1/2011,1287.29,24.34
7/1/2011,1325.19,24.62
8/1/2011,1185.31,24.90
9/1/2011,1173.88,25.18
10/1/2011,1207.22,25.60
11/1/2011,1226.42,26.01
12/1/2011,1243.32,26.43
1/1/2012,1300.58,26.74
2/1/2012,1352.49,27.04
3/1/2012,1389.24,27.35
4/1/2012,1386.43,27.67
5/1/2012,1341.27,28.00
6/1/2012,1323.48,28.32
7/1/2012,1359.78,28.74
8/1/2012,1403.45,29.17
9/1/2012,1443.42,29.59
10/1/2012,1437.82,30.14
11/1/2012,1394.51,30.70
12/1/2012,1422.29,31.25
1/1/2013,1480.4,31.54
2/1/2013,1512.31,31.82
3/1/2013,1550.83,32.11
4/1/2013,1570.7,32.50
5/1/2013,1639.84,32.88
6/1/2013,1618.77,33.27
7/1/2013,1668.68,33.65
8/1/2013,1670.09,34.02
9/1/2013,1687.17,34.40
10/1/2013,1720.03,34.60
11/1/2013,1783.54,34.79
12/1/2013,1807.78,34.99
1/1/2014,1822.36,35.40
2/1/2014,1817.04,35.82
3/1/2014,1863.52,36.23
4/1/2014,1864.26,36.61
5/1/2014,1889.77,37.00
6/1/2014,1947.09,37.38
7/1/2014,1973.1,37.75
8/1/2014,1961.53,38.12
9/1/2014,1993.23,38.49
10/1/2014,1937.27,38.81
11/1/2014,2044.57,39.12
12/1/2014,2054.27,39.44
1/1/2015,2028.18,39.90
2/1/2015,2082.2,40.35
3/1/2015,2079.99,40.81
4/1/2015,2094.86,41.12
5/1/2015,2111.94,41.43
6/1/2015,2099.29,41.74
7/1/2015,2094.14,42.00
8/1/2015,2039.87,42.25
9/1/2015,1944.41,42.51
10/1/2015,2024.81,42.80
11/1/2015,2080.62,43.10
12/1/2015,2054.08,43.39
1/1/2016,1918.6,43.55
2/1/2016,1904.42,43.72
3/1/2016,2021.95,43.88
4/1/2016,2075.54,44.07
5/1/2016,2065.55,44.27
6/1/2016,2083.89,44.46
7/1/2016,2148.9,44.65
8/1/2016,2170.95,44.84
9/1/2016,2157.69,45.03
10/1/2016,2143.02,45.25
11/1/2016,2164.99,45.48
12/1/2016,2246.63,45.70
1/1/2017,2275.12,45.93
2/1/2017,2329.91,46.15
3/1/2017,2366.82,46.38
4/1/2017,2359.31,46.66
5/1/2017,2395.35,46.94
6/1/2017,2433.99,47.22
7/1/2017,2454.1,47.54
8/1/2017,2456.22,47.85
9/1/2017,2492.84,48.17
10/1/2017,2557,48.42
11/1/2017,2593.61,48.68
12/1/2017,2664.34,48.93
1/1/2018,2789.8,49.29
2/1/2018,2705.16,49.64
3/1/2018,2702.77,50.00
4/1/2018,2653.63,50.33
5/1/2018,2701.49,50.66
6/1/2018,2754.35,50.99
7/1/2018,2793.64,51.44
8/1/2018,2857.82,51.89
9/1/2018,2901.5,52.34
10/1/2018,2785.46,52.81
11/1/2018,2723.23,53.28
12/1/2018,2567.31,53.75
1/1/2019,2607.39,54.15
2/1/2019,2754.86,54.54
3/1/2019,2803.98,54.94
4/1/2019,2903.80,55.32
5/1/2019,2854.71,55.70
6/1/2019,2890.17,56.08
7/1/2019,2996.11,56.46
8/1/2019,2897.50,56.84
9/1/2019,2982.16,57.22
10/1/2019,2977.68,57.56
11/1/2019,3104.90,57.90
12/1/2019,3176.75,58.24
1/1/2020,3278.20,59.58
2/1/2020,3277.31,59.58
3/1/2020,2652.39,59.58
4/1/2020,2761.63,59.58
5/1/2020,2930.32,59.58
